row,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,NIC276,NA,JU1530,NA,NIC251,NA,JU2250,NA,JU1792,NA,NIC272
B,NA,JU1934,NA,QX1212,NA,ED3073,NA,JU1200,NA,JU2017,NA,QW947
C,NA,ED3077,NA,NIC236,NA,JU847,NA,JU1212,NA,JU2106,NA,NIC266
D,NA,NIC255,NA,NIC271,NA,JU2257,NA,PX179,NA,ECA259,NA,NIC242
E,NA,JU2522,NA,NIC207,NA,ED3005,NA,JU2001,NA,JU406,NA,JU778
F,NA,JU2513,NA,JU792,NA,JU394,NA,AB1,NA,CB4932,NA,NIC265
G,NA,NIC166,NA,EG4349,NA,JU367,NA,MY18,NA,JU2464,NA,JU1246
H,NA,JU2016,NA,JU1666,NA,MY10,NA,ED3046,NA,ECA248,NA,NIC195
