Count_NonOverlappingWorms,Count_OverlappingWorms,Count_Welloutline,Count_WormObjects,FileName_RawBF,ImageNumber
30.0,30.0,1.0,59.0,20220407-dauerProtocol1-p002-m2X_A01_w1.TIF,1
35.0,35.0,1.0,42.0,20220407-dauerProtocol1-p002-m2X_A02_w1.TIF,2
42.0,42.0,1.0,49.0,20220407-dauerProtocol1-p002-m2X_A03_w1.TIF,3
27.0,27.0,1.0,48.0,20220407-dauerProtocol1-p002-m2X_A04_w1.TIF,4
45.0,45.0,1.0,51.0,20220407-dauerProtocol1-p002-m2X_A05_w1.TIF,5
