row,1,2,3,4,5,6,7,8,9,10,11,12
A,sophie_10uM_old,sophie_10uM_old,sophie_10uM_old,sophie_10uM_old,sophie_10uM_old,sophie_10uM_old,sophie_10uM_new,sophie_10uM_new,sophie_10uM_new,sophie_10uM_new,sophie_10uM_new,sophie_10uM_new
B,sophie_control_old,sophie_control_old,sophie_control_old,sophie_control_old,sophie_control_old,sophie_control_old,sophie_control_new,sophie_control_new,sophie_control_new,sophie_control_new,sophie_control_new,sophie_control_new
C,sophie_10uM_old,sophie_10uM_old,sophie_10uM_old,sophie_10uM_old,sophie_10uM_old,sophie_10uM_old,sophie_10uM_new,sophie_10uM_new,sophie_10uM_new,sophie_10uM_new,sophie_10uM_new,sophie_10uM_new
D,sophie_control_old,sophie_control_old,sophie_control_old,sophie_control_old,sophie_control_old,sophie_control_old,sophie_control_new,sophie_control_new,sophie_control_new,sophie_control_new,sophie_control_new,sophie_control_new
E,joy_10uM_old,joy_10uM_old,joy_10uM_old,joy_10uM_old,joy_10uM_old,joy_10uM_old,joy_10uM_new,joy_10uM_new,joy_10uM_new,joy_10uM_new,joy_10uM_new,joy_10uM_new
F,joy_control_old,joy_control_old,joy_control_old,joy_control_old,joy_control_old,joy_control_old,joy_control_new,joy_control_new,joy_control_new,joy_control_new,joy_control_new,joy_control_new
G,joy_10uM_old,joy_10uM_old,joy_10uM_old,joy_10uM_old,joy_10uM_old,joy_10uM_old,joy_10uM_new,joy_10uM_new,joy_10uM_new,joy_10uM_new,joy_10uM_new,joy_10uM_new
H,joy_control_old,joy_control_old,joy_control_old,joy_control_old,joy_control_old,joy_control_old,joy_control_new,joy_control_new,joy_control_new,joy_control_new,joy_control_new,joy_control_new
