ImageNumber,ObjectNumber,Metadata_Assay,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_Magnification,Metadata_Plate,Metadata_Series,Metadata_Well,Metadata_wavelength,Children_NonOverlappingWorms_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,1,1155.1107491856678,273.6523964634714,0,1
1,2,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,1,896.6143661039391,388.6395233366435,0,2
1,3,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,2,604.7148104858908,421.07981299048254,0,3
1,4,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,0,1527.5419847328244,443.4980916030534,0,4
1,5,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,0,1134.8055555555557,458.99074074074076,0,5
1,6,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,1,775.1279771355986,572.4931724356939,0,6
1,7,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,1,1456.107863604732,676.4189283228949,0,7
1,8,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,0,1609.6756756756756,564.4144144144144,0,8
1,9,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,0,1242.4597701149426,564.448275862069,0,9
1,10,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,0,952.8977272727273,612.6704545454545,0,10
1,11,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,2,402.0692612137203,725.8799472295515,0,11
1,12,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,0,146.67889273356403,734.5467128027682,0,12
1,13,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,0,834.0309278350516,656.5154639175257,0,13
1,14,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,1,1443.911083281152,865.2417031934878,0,14
1,15,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,0,688.8360655737705,817.1311475409836,0,15
1,16,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,0,294.62745098039215,891.7745098039215,0,16
1,17,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,0,1013.8023952095808,941.8682634730538,0,17
1,18,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,1,1228.3542687193842,1085.600244926522,0,18
1,19,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,1,1330.265852047556,1069.3655878467634,0,19
1,20,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,0,228.3909090909091,961.1272727272727,0,20
1,21,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,1,830.3549364021804,1000.8013325257419,0,21
