ImageNumber,ObjectNumber,Metadata_Assay,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_Magnification,Metadata_Plate,Metadata_Series,Metadata_Well,Metadata_wavelength,Number_Object_Number,Worm_Length
1,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,1,262.07168448616153
1,2,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,2,265.24799730664586
1,3,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,3,261.23568583239825
1,4,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,4,309.4317634907196
1,5,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,5,267.45615010835945
1,6,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,6,260.75944980722954
1,7,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,7,258.3556450449709
1,8,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,8,265.99099511019426
1,9,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,9,309.615529674793
1,10,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,10,272.4800134696601
1,11,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,11,252.3492372097578
1,12,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,12,274.07642443139196
1,13,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,13,262.7504044581595
1,14,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,14,228.88486944760547
1,15,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,15,262.1862870792079
1,16,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,16,265.5929291125635
1,17,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,17,262.076424431392
1,18,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,18,256.40232623919644
1,19,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,19,267.50966799187836
1,20,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,20,269.8934921923096
1,21,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,21,274.50597771562974
1,22,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,22,276.1171028813156
1,23,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,23,285.83556979968336
1,24,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,24,255.78710255004665
1,25,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,25,283.2397209228252
1,26,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,26,253.40073270701103
1,27,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,27,271.7817459305205
1,28,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,28,293.2081528017134
1,29,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,29,304.0170178283932
1,30,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,30,245.99756781981367
2,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,1,268.95236669535507
2,2,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,2,271.8172746412934
2,3,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,3,271.7228714274748
2,4,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,4,253.31117876023583
2,5,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,5,259.96046148071116
2,6,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,6,267.91883092036846
2,7,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,7,271.6934341759521
2,8,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,8,269.65798829936244
2,9,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,9,295.95867542530067
2,10,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,10,269.4386001800128
2,11,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,11,278.3086578651017
2,12,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,12,284.6518036156095
2,13,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,13,266.3371430062056
2,14,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,14,265.6239351488016
2,15,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,15,264.404112294607
2,16,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,16,260.6761902332491
2,17,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,17,298.66399692442906
2,18,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,18,277.7106781186551
2,19,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,19,275.79393923934043
2,20,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,20,254.61731573020353
2,21,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,21,284.14927829866764
2,22,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,22,264.5970276360277
2,23,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,23,260.56349186104075
2,24,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,24,263.9020158317459
2,25,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,25,280.16652224137084
2,26,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,26,260.0650650675632
2,27,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,27,257.8876076134354
2,28,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,28,270.1697779762287
2,29,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan,29,259.2538069759008
