ImageNumber,ObjectNumber,Metadata_Assay,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_Magnification,Metadata_Plate,Metadata_Series,Metadata_Well,Metadata_wavelength
46,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,D10,nan
47,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,D11,nan
48,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,D12,nan
49,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,E01,nan
50,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,E02,nan
51,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,E03,nan
52,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,E04,nan
53,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,E05,nan
54,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,E06,nan
55,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,E07,nan
56,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,E08,nan
57,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,E09,nan
58,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,E10,nan
59,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,E11,nan
60,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,E12,nan
61,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,F01,nan
62,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,F02,nan
63,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,F03,nan
64,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,F04,nan
65,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,F05,nan
66,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,F06,nan
67,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,F07,nan
68,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,F08,nan
69,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,F09,nan
70,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,F10,nan
71,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,F11,nan
72,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,F12,nan
73,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,G01,nan
74,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,G02,nan
75,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,G03,nan
76,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,G04,nan
77,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,G05,nan
78,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,G06,nan
79,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,G07,nan
80,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,G08,nan
81,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,G09,nan
82,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,G10,nan
83,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,G11,nan
84,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,G12,nan
