Count_NonOverlappingWorms,Count_OverlappingWorms,Count_Welloutline,Count_WormObjects,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05ImageMath,ExecutionTime_06MaskImage,ExecutionTime_07MaskImage,ExecutionTime_08IdentifyPrimaryObjects,ExecutionTime_09CorrectIlluminationCalculate,ExecutionTime_10CorrectIlluminationApply,ExecutionTime_11IdentifyPrimaryObjects,ExecutionTime_12ConvertObjectsToImage,ExecutionTime_13UntangleWorms,ExecutionTime_14MeasureObjectSizeShape,ExecutionTime_15MeasureObjectIntensity,FileName_RawBF,ImageNumber,Metadata_Assay,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_Magnification,Metadata_Plate,Metadata_Series,Metadata_Well,Metadata_wavelength
30.0,30.0,1.0,59.0,0.0,0.0,2.6500000000000057,0.0,0.3500000000000014,0.12999999999999545,0.29999999999999716,1.5400000000000063,164.87,0.020000000000010232,1.9799999999999898,0.009999999999990905,30.140000000000043,0.2899999999999636,0.6100000000000421,20220407-dauerProtocol1-p002-m2X_A01_w1.TIF,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
35.0,35.0,1.0,42.0,0.0,0.0,2.979999999999997,0.0,0.3500000000000014,0.13000000000000256,0.2600000000000051,1.6999999999999957,225.5,0.020000000000038654,2.5399999999999636,0.010000000000047748,40.81999999999999,0.339999999999975,0.6200000000000045,20220407-dauerProtocol1-p002-m2X_A02_w1.TIF,2,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan
42.0,42.0,1.0,49.0,0.0,0.0,1.419999999999959,0.0,0.19000000000005457,0.10000000000002274,0.22999999999996135,1.6399999999999864,224.65999999999997,0.029999999999972715,2.490000000000066,0.009999999999990905,51.53000000000003,0.5399999999999636,0.8700000000000045,20220407-dauerProtocol1-p002-m2X_A03_w1.TIF,3,dauerProtocol1,20220407,nan,0,m2X,p002,0,A03,nan
27.0,27.0,1.0,48.0,0.009999999999990905,0.0,1.3600000000001273,0.0,0.20000000000004547,0.10999999999989996,0.20000000000004547,2.0399999999999636,225.77999999999997,0.01999999999998181,2.410000000000082,0.01999999999998181,36.1099999999999,0.34999999999990905,0.8099999999999454,20220407-dauerProtocol1-p002-m2X_A04_w1.TIF,4,dauerProtocol1,20220407,nan,0,m2X,p002,0,A04,nan
45.0,45.0,1.0,51.0,0.0,0.0,1.25,0.0,0.17000000000007276,0.060000000000002274,0.20999999999997954,2.3899999999999864,225.35000000000008,0.01999999999998181,2.480000000000132,0.009999999999990905,49.08999999999992,0.5199999999999818,0.8700000000000045,20220407-dauerProtocol1-p002-m2X_A05_w1.TIF,5,dauerProtocol1,20220407,nan,0,m2X,p002,0,A05,nan
33.0,33.0,1.0,46.0,0.0,0.0,0.7100000000000364,0.0,0.06999999999993634,0.05999999999994543,0.10000000000013642,1.4800000000000182,218.79999999999995,0.01999999999998181,2.3700000000001182,0.009999999999990905,38.69999999999982,0.40000000000009095,0.75,20220407-dauerProtocol1-p002-m2X_A06_w1.TIF,6,dauerProtocol1,20220407,nan,0,m2X,p002,0,A06,nan
45.0,45.0,1.0,52.0,0.0,0.0,0.8000000000000682,0.0,0.07999999999992724,0.06000000000005912,0.10000000000002274,1.67999999999995,220.2499999999999,0.03999999999996362,2.410000000000082,0.009999999999990905,48.799999999999955,0.37000000000011823,0.7099999999999227,20220407-dauerProtocol1-p002-m2X_A07_w1.TIF,7,dauerProtocol1,20220407,nan,0,m2X,p002,0,A07,nan
41.0,41.0,1.0,43.0,0.0,0.0,0.7799999999999727,0.0,0.13000000000010914,0.09999999999990905,0.11000000000012733,1.4500000000000455,222.55999999999972,0.029999999999972715,2.6400000000001,0.009999999999990905,48.899999999999864,0.4700000000000273,0.7899999999999636,20220407-dauerProtocol1-p002-m2X_A08_w1.TIF,8,dauerProtocol1,20220407,nan,0,m2X,p002,0,A08,nan
36.0,36.0,1.0,45.0,0.0,0.0,0.8600000000000136,0.0,0.08000000000004093,0.05999999999994543,0.10000000000002274,1.6399999999999864,223.28999999999996,0.029999999999972715,2.619999999999891,0.009999999999990905,42.81000000000017,0.4500000000000455,0.8999999999998636,20220407-dauerProtocol1-p002-m2X_A09_w1.TIF,9,dauerProtocol1,20220407,nan,0,m2X,p002,0,A09,nan
30.0,30.0,1.0,41.0,0.0,0.0,0.6400000000001,0.0,0.07999999999992724,0.060000000000172804,0.11999999999989086,1.4500000000000455,229.2099999999998,0.01999999999998181,2.560000000000173,0.009999999999990905,34.820000000000164,0.37999999999988177,0.7599999999999909,20220407-dauerProtocol1-p002-m2X_A10_w1.TIF,10,dauerProtocol1,20220407,nan,0,m2X,p002,0,A10,nan
32.0,32.0,1.0,42.0,0.0,0.0,0.8200000000001637,0.0,0.08999999999991815,0.05999999999994543,0.09000000000014552,1.740000000000009,229.86000000000013,0.01999999999998181,2.5099999999997635,0.01999999999998181,36.65000000000009,0.37000000000011823,0.7599999999997635,20220407-dauerProtocol1-p002-m2X_A11_w1.TIF,11,dauerProtocol1,20220407,nan,0,m2X,p002,0,A11,nan
40.0,40.0,1.0,57.0,0.0,0.0,1.0900000000001455,0.0,0.07999999999992724,0.05999999999994543,0.08999999999991815,1.8700000000001182,229.20000000000005,0.029999999999972715,2.4500000000000455,0.01999999999998181,44.62000000000012,0.4500000000000455,0.819999999999709,20220407-dauerProtocol1-p002-m2X_A12_w1.TIF,12,dauerProtocol1,20220407,nan,0,m2X,p002,0,A12,nan
25.0,25.0,1.0,40.0,0.0,0.0,0.6099999999999,0.0,0.07999999999992724,0.07000000000016371,0.10999999999989996,1.8600000000001273,229.94000000000005,0.029999999999972715,2.3999999999998636,0.009999999999990905,33.059999999999945,0.3300000000001546,0.7799999999999727,20220407-dauerProtocol1-p002-m2X_B01_w1.TIF,13,dauerProtocol1,20220407,nan,0,m2X,p002,0,B01,nan
26.0,26.0,1.0,35.0,0.0,0.0,0.8899999999998727,0.0,0.05999999999994543,0.07000000000016371,0.09000000000014552,1.4199999999998454,226.39999999999964,0.03000000000020009,2.399999999999636,0.010000000000218279,34.17000000000007,0.3400000000001455,0.7699999999999818,20220407-dauerProtocol1-p002-m2X_B02_w1.TIF,14,dauerProtocol1,20220407,nan,0,m2X,p002,0,B02,nan
34.0,34.0,1.0,52.0,0.0,0.0,0.5900000000001455,0.0,0.06999999999993634,0.05999999999994543,0.09000000000014552,1.6900000000000546,227.13999999999987,0.01999999999998181,2.5499999999999545,0.009999999999990905,43.76999999999998,0.38000000000010914,0.6700000000000728,20220407-dauerProtocol1-p002-m2X_B03_w1.TIF,15,dauerProtocol1,20220407,nan,0,m2X,p002,0,B03,nan
35.0,35.0,1.0,41.0,0.0,0.0,0.5799999999999272,0.0,0.05999999999994543,0.06999999999970896,0.11999999999989086,1.4800000000000182,225.6600000000003,0.03000000000020009,2.4699999999998,0.010000000000218279,39.79999999999973,0.4000000000005457,0.7799999999992906,20220407-dauerProtocol1-p002-m2X_B04_w1.TIF,16,dauerProtocol1,20220407,nan,0,m2X,p002,0,B04,nan
