row,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,JU440,NA,PB303,NA,ECA36,NA,JU1172,NA,ED3048,NA,JU1213
B,NA,ECA189,NA,ED3017,NA,JU1581,NA,NIC199,NA,NIC1,NA,JU346
C,NA,NIC274,NA,CB4856,NA,DL200,NA,ECA369,NA,JU830,NA,JU1440
D,NA,ED3040,NA,QX1794,NA,JU1568,NA,LKC34,NA,CX11276,NA,EG4725
E,NA,JU1088,NA,JU775,NA,NIC2,NA,DL238,NA,MY16,NA,JU1242
F,NA,BRC20067,NA,NIC275,NA,JU774,NA,JU360,NA,CX11271,NA,JU1409
G,NA,KR314,NA,BRC20263,NA,NIC260,NA,NIC252,NA,JU323,NA,CX11285
H,NA,NIC261,NA,ED3052,NA,ECA251,NA,CX11314,NA,JU2519,NA,MY1
