row,1,2,3,4,5,6,7,8,9,10,11,12
A,control,control,control,control,control,control,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM
B,control,control,control,control,control,control,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM
C,control,control,control,control,control,control,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM
D,control,control,control,control,control,control,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM
E,control,control,control,control,control,control,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM
F,control,control,control,control,control,control,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM
G,control,control,control,control,control,control,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
