"","date","plate","row","col","strain","condition","well"
"1","20220504",1,"A","1","N2","20uMascr","A1"
"2","20220504",1,"A","2","N2","20uMascr","A2"
"3","20220504",1,"A","3","N2","20uMascr","A3"
"4","20220504",1,"A","4","N2","20uMascr","A4"
"5","20220504",1,"A","5","N2","20uMascr","A5"
"6","20220504",1,"A","6","N2","20uMascr","A6"
"7","20220504",1,"A","7","N2","20uMascr","A7"
"8","20220504",1,"A","8","N2","20uMascr","A8"
"9","20220504",1,"A","9","N2","20uMascr","A9"
"10","20220504",1,"A","10","N2","20uMascr","A10"
"11","20220504",1,"A","11","N2","20uMascr","A11"
"12","20220504",1,"A","12","N2","20uMascr","A12"
"13","20220504",1,"B","1","N2","10uMascr","B1"
"14","20220504",1,"B","2","N2","10uMascr","B2"
"15","20220504",1,"B","3","N2","10uMascr","B3"
"16","20220504",1,"B","4","N2","10uMascr","B4"
"17","20220504",1,"B","5","N2","10uMascr","B5"
"18","20220504",1,"B","6","N2","10uMascr","B6"
"19","20220504",1,"B","7","N2","10uMascr","B7"
"20","20220504",1,"B","8","N2","10uMascr","B8"
"21","20220504",1,"B","9","N2","10uMascr","B9"
"22","20220504",1,"B","10","N2","10uMascr","B10"
"23","20220504",1,"B","11","N2","10uMascr","B11"
"24","20220504",1,"B","12","N2","10uMascr","B12"
"25","20220504",1,"C","1","N2","5uMascr","C1"
"26","20220504",1,"C","2","N2","5uMascr","C2"
"27","20220504",1,"C","3","N2","5uMascr","C3"
"28","20220504",1,"C","4","N2","5uMascr","C4"
"29","20220504",1,"C","5","N2","5uMascr","C5"
"30","20220504",1,"C","6","N2","5uMascr","C6"
"31","20220504",1,"C","7","N2","5uMascr","C7"
"32","20220504",1,"C","8","N2","5uMascr","C8"
"33","20220504",1,"C","9","N2","5uMascr","C9"
"34","20220504",1,"C","10","N2","5uMascr","C10"
"35","20220504",1,"C","11","N2","5uMascr","C11"
"36","20220504",1,"C","12","N2","5uMascr","C12"
"37","20220504",1,"D","1","N2","control","D1"
"38","20220504",1,"D","2","N2","control","D2"
"39","20220504",1,"D","3","N2","control","D3"
"40","20220504",1,"D","4","N2","control","D4"
"41","20220504",1,"D","5","N2","control","D5"
"42","20220504",1,"D","6","N2","control","D6"
"43","20220504",1,"D","7","N2","control","D7"
"44","20220504",1,"D","8","N2","control","D8"
"45","20220504",1,"D","9","N2","control","D9"
"46","20220504",1,"D","10","N2","control","D10"
"47","20220504",1,"D","11","N2","control","D11"
"48","20220504",1,"D","12","N2","control","D12"
"49","20220504",1,"E","1","N2","20uMascr","E1"
"50","20220504",1,"E","2","N2","20uMascr","E2"
"51","20220504",1,"E","3","N2","20uMascr","E3"
"52","20220504",1,"E","4","N2","20uMascr","E4"
"53","20220504",1,"E","5","N2","20uMascr","E5"
"54","20220504",1,"E","6","N2","20uMascr","E6"
"55","20220504",1,"E","7","N2","20uMascr","E7"
"56","20220504",1,"E","8","N2","20uMascr","E8"
"57","20220504",1,"E","9","N2","20uMascr","E9"
"58","20220504",1,"E","10","N2","20uMascr","E10"
"59","20220504",1,"E","11","N2","20uMascr","E11"
"60","20220504",1,"E","12","N2","20uMascr","E12"
"61","20220504",1,"F","1","N2","10uMascr","F1"
"62","20220504",1,"F","2","N2","10uMascr","F2"
"63","20220504",1,"F","3","N2","10uMascr","F3"
"64","20220504",1,"F","4","N2","10uMascr","F4"
"65","20220504",1,"F","5","N2","10uMascr","F5"
"66","20220504",1,"F","6","N2","10uMascr","F6"
"67","20220504",1,"F","7","N2","10uMascr","F7"
"68","20220504",1,"F","8","N2","10uMascr","F8"
"69","20220504",1,"F","9","N2","10uMascr","F9"
"70","20220504",1,"F","10","N2","10uMascr","F10"
"71","20220504",1,"F","11","N2","10uMascr","F11"
"72","20220504",1,"F","12","N2","10uMascr","F12"
"73","20220504",1,"G","1","N2","5uMascr","G1"
"74","20220504",1,"G","2","N2","5uMascr","G2"
"75","20220504",1,"G","3","N2","5uMascr","G3"
"76","20220504",1,"G","4","N2","5uMascr","G4"
