Count_NonOverlappingWorms,Count_OverlappingWorms,Count_Welloutline,Count_WormObjects,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05ImageMath,ExecutionTime_06MaskImage,ExecutionTime_07MaskImage,ExecutionTime_08IdentifyPrimaryObjects,ExecutionTime_09CorrectIlluminationCalculate,ExecutionTime_10CorrectIlluminationApply,ExecutionTime_11IdentifyPrimaryObjects,ExecutionTime_12ConvertObjectsToImage,ExecutionTime_13UntangleWorms,FileName_RawBF,ImageNumber,Metadata_Assay,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_Magnification,Metadata_Plate,Metadata_Series,Metadata_Well,Metadata_wavelength
30.0,30.0,1.0,59.0,0.0,0.0,2.180000000000007,0.0,0.21999999999999886,0.10999999999999943,0.1600000000000037,1.519999999999996,172.37,0.020000000000010232,2.130000000000024,0.01999999999998181,31.049999999999983,20220407-dauerProtocol1-p002-m2X_A01_w1.TIF,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan
35.0,35.0,1.0,42.0,0.0,0.0,2.460000000000001,0.0,0.25,0.14000000000000057,0.30000000000000426,2.1300000000000026,230.17,0.01999999999998181,2.5,0.020000000000038654,40.25,20220407-dauerProtocol1-p002-m2X_A02_w1.TIF,2,dauerProtocol1,20220407,nan,0,m2X,p002,0,A02,nan
42.0,42.0,1.0,49.0,0.0,0.0,1.3100000000000023,0.0,0.17000000000001592,0.0999999999999659,0.18000000000000682,2.2100000000000364,230.66999999999996,0.030000000000086402,2.5,0.009999999999990905,51.489999999999895,20220407-dauerProtocol1-p002-m2X_A03_w1.TIF,3,dauerProtocol1,20220407,nan,0,m2X,p002,0,A03,nan
27.0,27.0,1.0,48.0,0.0,0.0,1.5199999999999818,0.0,0.19999999999998863,0.12999999999999545,0.19000000000005457,1.8199999999999363,222.7000000000001,0.029999999999972715,2.4600000000000364,0.009999999999990905,37.01999999999998,20220407-dauerProtocol1-p002-m2X_A04_w1.TIF,4,dauerProtocol1,20220407,nan,0,m2X,p002,0,A04,nan
45.0,45.0,1.0,51.0,0.0,0.0,1.099999999999909,0.0,0.08000000000015461,0.05999999999994543,0.11000000000001364,1.7299999999999045,224.84000000000015,0.01999999999998181,2.5299999999999727,0.01999999999998181,51.58000000000004,20220407-dauerProtocol1-p002-m2X_A05_w1.TIF,5,dauerProtocol1,20220407,nan,0,m2X,p002,0,A05,nan
33.0,33.0,1.0,46.0,0.0,0.0,1.0399999999999636,0.0,0.09000000000003183,0.05999999999994543,0.09000000000003183,1.7300000000000182,216.96000000000004,0.029999999999972715,2.6499999999999773,0.009999999999990905,38.809999999999945,20220407-dauerProtocol1-p002-m2X_A06_w1.TIF,6,dauerProtocol1,20220407,nan,0,m2X,p002,0,A06,nan
45.0,45.0,1.0,52.0,0.0,0.0,1.1299999999998818,0.0,0.14000000000010004,0.05999999999994543,0.09999999999990905,1.7100000000000364,220.84000000000015,0.01999999999998181,2.509999999999991,0.009999999999990905,48.710000000000036,20220407-dauerProtocol1-p002-m2X_A07_w1.TIF,7,dauerProtocol1,20220407,nan,0,m2X,p002,0,A07,nan
41.0,41.0,1.0,43.0,0.0,0.0,1.0900000000000318,0.0,0.15999999999996817,0.12999999999999545,0.17999999999994998,1.9100000000000819,222.62,0.05999999999994543,2.690000000000282,0.029999999999972715,48.389999999999645,20220407-dauerProtocol1-p002-m2X_A08_w1.TIF,8,dauerProtocol1,20220407,nan,0,m2X,p002,0,A08,nan
36.0,36.0,1.0,45.0,0.0,0.0,1.5099999999997635,0.0,0.18000000000006366,0.09999999999990905,0.12000000000034561,1.7899999999997362,222.91000000000008,0.03999999999996362,2.630000000000109,0.009999999999990905,40.3900000000001,20220407-dauerProtocol1-p002-m2X_A09_w1.TIF,9,dauerProtocol1,20220407,nan,0,m2X,p002,0,A09,nan
30.0,30.0,1.0,41.0,0.0,0.0,0.8600000000001273,0.0,0.07999999999992724,0.06999999999993634,0.10000000000013642,1.7899999999999636,217.37999999999988,0.020000000000209184,2.5499999999999545,0.009999999999990905,33.73000000000002,20220407-dauerProtocol1-p002-m2X_A10_w1.TIF,10,dauerProtocol1,20220407,nan,0,m2X,p002,0,A10,nan
