worm_id,file,x,y,class_count_well,truth_class,plate,well
1,20220427-dauerProtocol3-p001-m2X_E07.png,694,296,6,prune,p001,E07
2,20220427-dauerProtocol3-p001-m2X_E07.png,1324,298,6,prune,p001,E07
3,20220427-dauerProtocol3-p001-m2X_E07.png,750,388,19,dauer,p001,E07
4,20220427-dauerProtocol3-p001-m2X_E07.png,1000,608,19,dauer,p001,E07
5,20220427-dauerProtocol3-p001-m2X_E07.png,598,702,19,dauer,p001,E07
6,20220427-dauerProtocol3-p001-m2X_E07.png,848,730,19,dauer,p001,E07
7,20220427-dauerProtocol3-p001-m2X_E07.png,622,896,19,dauer,p001,E07
8,20220427-dauerProtocol3-p001-m2X_E07.png,1658,904,19,dauer,p001,E07
9,20220427-dauerProtocol3-p001-m2X_E07.png,734,944,19,dauer,p001,E07
10,20220427-dauerProtocol3-p001-m2X_E07.png,1598,1048,19,dauer,p001,E07
11,20220427-dauerProtocol3-p001-m2X_E07.png,278,1050,6,prune,p001,E07
12,20220427-dauerProtocol3-p001-m2X_E07.png,592,1064,19,dauer,p001,E07
13,20220427-dauerProtocol3-p001-m2X_E07.png,270,1102,6,prune,p001,E07
14,20220427-dauerProtocol3-p001-m2X_E07.png,1762,1100,19,dauer,p001,E07
15,20220427-dauerProtocol3-p001-m2X_E07.png,536,1112,19,dauer,p001,E07
16,20220427-dauerProtocol3-p001-m2X_E07.png,254,1134,6,prune,p001,E07
17,20220427-dauerProtocol3-p001-m2X_E07.png,618,1162,19,dauer,p001,E07
18,20220427-dauerProtocol3-p001-m2X_E07.png,302,1174,19,dauer,p001,E07
19,20220427-dauerProtocol3-p001-m2X_E07.png,264,1228,6,prune,p001,E07
20,20220427-dauerProtocol3-p001-m2X_E07.png,1748,1292,19,dauer,p001,E07
21,20220427-dauerProtocol3-p001-m2X_E07.png,1400,1304,19,dauer,p001,E07
22,20220427-dauerProtocol3-p001-m2X_E07.png,1348,1360,19,dauer,p001,E07
23,20220427-dauerProtocol3-p001-m2X_E07.png,686,1420,19,dauer,p001,E07
24,20220427-dauerProtocol3-p001-m2X_E07.png,1398,1442,19,dauer,p001,E07
25,20220427-dauerProtocol3-p001-m2X_E07.png,990,1512,19,dauer,p001,E07
1,20220427-dauerProtocol3-p001-m2X_E08.png,894,280,12,prune,p001,E08
2,20220427-dauerProtocol3-p001-m2X_E08.png,1336,282,12,prune,p001,E08
3,20220427-dauerProtocol3-p001-m2X_E08.png,1408,344,18,dauer,p001,E08
4,20220427-dauerProtocol3-p001-m2X_E08.png,952,348,18,dauer,p001,E08
5,20220427-dauerProtocol3-p001-m2X_E08.png,682,408,18,dauer,p001,E08
6,20220427-dauerProtocol3-p001-m2X_E08.png,1086,424,18,dauer,p001,E08
7,20220427-dauerProtocol3-p001-m2X_E08.png,392,552,1,non-dauer,p001,E08
8,20220427-dauerProtocol3-p001-m2X_E08.png,1136,624,18,dauer,p001,E08
9,20220427-dauerProtocol3-p001-m2X_E08.png,1638,668,12,prune,p001,E08
10,20220427-dauerProtocol3-p001-m2X_E08.png,330,698,12,prune,p001,E08
11,20220427-dauerProtocol3-p001-m2X_E08.png,1664,700,12,prune,p001,E08
12,20220427-dauerProtocol3-p001-m2X_E08.png,1544,754,18,dauer,p001,E08
13,20220427-dauerProtocol3-p001-m2X_E08.png,1776,812,12,prune,p001,E08
14,20220427-dauerProtocol3-p001-m2X_E08.png,312,842,18,dauer,p001,E08
15,20220427-dauerProtocol3-p001-m2X_E08.png,226,850,12,prune,p001,E08
16,20220427-dauerProtocol3-p001-m2X_E08.png,758,920,18,dauer,p001,E08
17,20220427-dauerProtocol3-p001-m2X_E08.png,210,954,12,prune,p001,E08
18,20220427-dauerProtocol3-p001-m2X_E08.png,924,994,18,dauer,p001,E08
19,20220427-dauerProtocol3-p001-m2X_E08.png,542,1122,12,prune,p001,E08
20,20220427-dauerProtocol3-p001-m2X_E08.png,1398,1130,18,dauer,p001,E08
21,20220427-dauerProtocol3-p001-m2X_E08.png,1740,1140,12,prune,p001,E08
22,20220427-dauerProtocol3-p001-m2X_E08.png,1680,1230,18,dauer,p001,E08
23,20220427-dauerProtocol3-p001-m2X_E08.png,1704,1310,12,prune,p001,E08
24,20220427-dauerProtocol3-p001-m2X_E08.png,402,1430,18,dauer,p001,E08
25,20220427-dauerProtocol3-p001-m2X_E08.png,1046,1442,18,dauer,p001,E08
26,20220427-dauerProtocol3-p001-m2X_E08.png,460,1538,18,dauer,p001,E08
27,20220427-dauerProtocol3-p001-m2X_E08.png,958,1568,18,dauer,p001,E08
28,20220427-dauerProtocol3-p001-m2X_E08.png,1248,1640,18,dauer,p001,E08
29,20220427-dauerProtocol3-p001-m2X_E08.png,1440,1656,18,dauer,p001,E08
30,20220427-dauerProtocol3-p001-m2X_E08.png,906,1718,18,dauer,p001,E08
31,20220427-dauerProtocol3-p001-m2X_E08.png,1108,1834,12,prune,p001,E08
1,20220427-dauerProtocol3-p001-m2X_E09.png,818,242,8,prune,p001,E09
2,20220427-dauerProtocol3-p001-m2X_E09.png,1140,398,28,dauer,p001,E09
3,20220427-dauerProtocol3-p001-m2X_E09.png,1098,530,2,non-dauer,p001,E09
