row,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,JU346,NA,ED3049,NA,EG4349,NA,NIC1049,NA,JU310,NA,LKC34
B,NA,JU1580,NA,JU1409,NA,ED3073,NA,JU2316,NA,JU258,NA,JU1440
C,NA,N2,NA,JU1242,NA,ED3048,NA,NIC515,NA,MY518,NA,MY2585
D,NA,DL238,NA,NIC501,NA,CX11314,NA,N2,NA,NIC199,NA,DL226
E,NA,NIC252,NA,NIC277,NA,JT11398,NA,ECA396,NA,JU1581,NA,JU311
F,NA,ECA251,NA,JU1088,NA,ED3052,NA,JU2007,NA,NIC268,NA,JU2593
G,NA,MY772,NA,ED3011,NA,JU323,NA,BRC20263,NA,MY2713,NA,JU774
H,NA,MY795,NA,CX11285,NA,CX11271,NA,JU1568,NA,MY23,NA,ED3040
